Distributor,Supplier,ProductName,Category,Standard,Internal_ID_Reference_Number,UCLA,UCD_H,UCB,UCR,UCM,UCSC,OG,CH,FT,RAC,AGA,AWA,GAP,AHC,MBA,WWF,MSC,OWR,SSB,SFSC,SP,BFC,BBC,FAC,SPP,EFI,MWD,BAP
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Karamel Sutra Pint (pt),Frozen Dessert,FT,355,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Milk & Cookies Pint (pt),Frozen Dessert,FT,356,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Mint Choc Cookie Pint (pt),Frozen Dessert,FT,357,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream New York Super Fudge Chunk Pint (pt),Frozen Dessert,FT,358,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream PB Cup Pint (pt),Frozen Dessert,FT,360,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream PB and Cookies Pint (pt) Vegan (VGN),Frozen Dessert,FT,359,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Phish Food Pint (pt),Frozen Dessert,FT,361,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Pistachio Pistachio Pint (pt),Frozen Dessert,FT,362,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Seasonal,Frozen Dessert,FT,363,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream The Tonight Dough,Frozen Dessert,FT,364,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Vanilla,Frozen Dessert,FT,366,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream Llc,Ben & Jerrys (B&J) Ice Cream Vanilla Caramel Fudge,Frozen Dessert,FT,365,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Bensdorp,Natural 22-24% Cocoa Powder,Baking Ingredients,"Fair Trade, Rainforest Alliance, ALL SUSTAINABLE",QZ101177,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Bensdorp,Natural 22-24% cocoa powder,Baking Ingredients,"Fair Trade, Rainforest Alliance, ALL SUSTAINABLE",QZ101177,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Central Milling,Organic Whole Dark Rye Flour,Grain,"USDA Organic, ALL SUSTAINABLE",928114,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Giustos,Pizza Flour 00,Grain,"USDA Organic, ALL SUSTAINABLE",927038,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Mary's Chicken,CHICKEN PARTY WINGS,Chicken,"ALL SUSTAINABLE, Certified Humane",10494788,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Mighty Leaf,MLT ORGANIC EARL GREY #10004,Coffee/Tea,"USDA Organic, ALL SUSTAINABLE",VN275003,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Mighty Leaf,ORGANIC BREAKFAST TEA 100 CT,Coffee/Tea,"USDA Organic, Fair Trade, ALL SUSTAINABLE",VN275001,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Tofurky,TEMPEH 12/1 LB SOY ORGANIC,Soy Protein,"USDA Organic, ALL SUSTAINABLE",929093,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chef's Warehouse,Unfi,GARBANZO (CHICKPEA) ORGANIC,Beans,"USDA Organic, ALL SUSTAINABLE",10709654,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Anderson Ranches,Anderson Valley Lamb Leg Boneless HALAL,Lamb,CH,336,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Anderson Ranches,Andeson Valley Lamb Stew Cut 20 lb avg HALAL,Lamb,CH,338,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Anderson Ranches,Andeson Valley Lamb Stew Cut 30 lb HALAL 20 lb avg,Lamb,CH,337,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Beef Top Round HALAL,Beef,"CH, GAP",332,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Bones Beef,Beef,"CH, GAP",334,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Bones Beef 40 lb,Beef,"CH, GAP",335,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Crea Co Beef Tri Tip HALAL,Beef,"CH, GAP",333,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Ribeye Lipon HALAL,Beef,"CH, GAP",323,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Philly Sliced HALAL,Beef,"CH, GAP",324,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Stir-Fry Cut HALAL,Beef,"CH, GAP",325,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Sirloin Whole HALAL,Beef,"CH, GAP",326,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Steak Flank HALAL,Beef,"CH, GAP",327,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Stew Cut HALAL,Beef,"CH, GAP",328,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Tail Flap HALAL,Beef,"CH, GAP",329,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Tenderloin HALAL,Beef,"CH, GAP",330,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Cream Co,Cream Co Beef Teres Major HALAL,Beef,"CH, GAP",331,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 3.2 oz - 5/1 HALAL,Beef,CH,320,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 4 oz - 4/1 HALAL,Beef,CH,321,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Cream Co Beef Patty 5.3 oz - 3/1 HALAL,Beef,CH,322,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Co Meats,Creekstone Naturals,Creekstone Brisket Beef Whole HALAL,Beef,CH,318,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Califia Farms,"MILK, ALMOND CALIFIA BARISTA 6/32OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Califia Farms,"Milk, Oat Califia 6/48-OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Clover Sonoma-Petaluma, Ca","MILK, CLOVER CHOCOLATE 2% 5-GAL",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Clover Sonoma-Petaluma, Ca","MILK, CLOVER CHOCOLATE 2% 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Clover Sonoma-Petaluma, Ca","MILK, CLOVER CHOCOLATE ORG 2% 5-GAL",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Clover Sonoma-Petaluma, Ca","MILK, CLOVER ORG LF 2% 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Clover Sonoma-Petaluma, Ca","MILK, CLOVER ORG WHOLE 5-GAL BIB",Milk,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Fennel, 12-CT Organic Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Garlic, Spring Green Org 5-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Radish, Black 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Radish, Watermelon Org 10-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Rutabaga, Organic 25-LB Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Strawberry, Organic 12-PT Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Sunchokes, Organic 10-LB Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Turnip, Scarlet 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Turnip, Scarlette Coke Farms",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Turnip, White 10-LB Organic Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,"Coke Farms-San Juan Bautista, Ca","Turnip, White 25# Org Coke",Produce,Organic,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Daylight,Durst Organic Growers,CAPAY Asparagus -Durst Org Growers,Produce,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Hodo Foods/Oakland/Ca (Grown In Usa) (Certified Organic),"TOFU, ORGANIC FIRM 20LB -HODO SOY",Soy Protein,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Hodo Foods/Oakland/Ca (Grown In Usa) (Certified Organic),"Tofu, Organic Firm 4/5LB -Hodo Soy",Soy Protein,Organic,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Pacific Foods,"MILK, SOY BARISTA PACIFIC 12/32-OZ",Dairy Alternative,ORG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Diestal,Diestel Turkey Nat Grd Frozen (frz) 4(5lb) CASE,Turkey,GAP,501,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Marys Sweetheart Turkey Breast Boneless Raw Kosher,Turkey,"CH, GAP",500,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken 8 Cut Halal,Chicken,"CH, GAP",468,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Airline,Chicken,"CH, GAP",469,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Fajita Cut,Chicken,"CH, GAP",474,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Breast Raw 4 oz Bonless Skinless (BS),Chicken,"CH, GAP",470,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Drumsticks,Chicken,"CH, GAP",476,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Thigh Bone In,Chicken,"CH, GAP",477,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Thigh Boneless,Chicken,"CH, GAP",479,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Mary's Chicken,Chicken Wings Party Raw,Chicken,"CH, GAP",481,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman,Pork Rib Back,Pork,CH,491,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Ground Beef,Beef,CH,453,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Patty Beef 3.2 oz 5/1,Beef,CH,456,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Niman Ranch,Patty Beef 4 oz 4/1,Beef,CH,457,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Norbest Poultry,Norbest Turkey Ground Roll Fresh 2 (10 lb) CASE,Turkey,GAP,502,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Del Monte (Allen Brothers),Thomas Foods,Ground Beef Halal,Beef,CH,575,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Frito Lay,Spitz,SPITZ SUNFLOWER SEEDS SEASONED ORG 6OZ,Nuts/ Seeds,OG,164,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice amer turmeric org,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice blood orange,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice butterfly lem,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org apple,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org black currant,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org cranberry,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org grn citginko,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org grn w/coconut,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org lem/tea,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org orange mango,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice org peach,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Harney & Sons,harney teas-juice white peach,Coffee/Tea,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Honey Stinger,waffles Cookies Cream,Other Dairy,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Honey Stinger,waffles GF Cinnamon Waffle,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Honey Stinger,waffles GF Salt Car Waffle,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Honey Stinger,waffles Honey Waffle,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Honey Stinger,waffles Vanilla Waffle,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics BBQ puffs,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics Carmelized Onion,Produce,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics Cheddar puffs,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics Spicy Sweet Peppers,Produce,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics Spicy Sweet pepper,Produce,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Iwon Organics,Iwon Organics Sweet Dijon,Candy,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Jambar,bar Jambar Choc,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Jambar,bar Jambar Jazzleberry,Produce,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Jambar,bar Jambar Malt Nut,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Jambar,bar Jambar Mango,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Jambar,bar Jambar Razzleberry,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar Kates PB HempFlax,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates drk choc almond,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates drk choc cherry almond,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates drk chr almond,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates lemon coconut,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates mango,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates oatmeal cran alm,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates pb hemp/flax,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates peanut butter,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
J Bradford,Kates Real Food,bar kates white macadamian,Snacks,USDA Certified Organic,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Beef Briskets,Beef,"ALL SUSTAINABLE, Certified Humane",HBB,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Beef Flank Steak Choice Angus,Beef,"ALL SUSTAINABLE, Certified Humane",HBFS,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,"Halal GF Chuck Cut 1/4""",Beef,"ALL SUSTAINABLE, Certified Humane",HGFCC,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Beef Fajitas,Beef,"ALL SUSTAINABLE, Certified Humane",HGFBF,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Beef Top Sirloin,Beef,"ALL SUSTAINABLE, Certified Humane",HGFTS,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Briskets,Beef,"ALL SUSTAINABLE, Certified Humane",HGFB,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Chuck Rolls,Beef,"ALL SUSTAINABLE, Certified Humane",HGFC,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,"Halal Grassfed Diced Beef 1""",Beef,"ALL SUSTAINABLE, Certified Humane",HGFCC1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Flank Steak Portion,Beef,"ALL SUSTAINABLE, Certified Humane",HGFFP,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Flank Steaks,Beef,"ALL SUSTAINABLE, Certified Humane",HGFF,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Ground Beef,Beef,"ALL SUSTAINABLE, Certified Humane",HGFG,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Sirloin Flap Frozen,Beef,"ALL SUSTAINABLE, Certified Humane",HGFFM,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Tenderloin,Beef,"ALL SUSTAINABLE, Certified Humane",HGFTL,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Top Round,Beef,"ALL SUSTAINABLE, Certified Humane",HGFTR,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Tri Tip Peeled,Beef,"ALL SUSTAINABLE, Certified Humane",HGFTT,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
K & M Meat Company,Bass Strait,Halal Grassfed Tri Tip Portions,Beef,"ALL SUSTAINABLE, Certified Humane",HGFTTP,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
KARAT BY LOLLICUP,Lipton,LIPTON PURE LEAF EXTRASWEET TEA 18.5oz,Coffee/Tea,OG,7458,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NAKED JUICE,Kevita,KEVITA KOMBUCHA GINGER 15.2OZ,Kombucha,OG,11367,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NAKED JUICE,Kevita,KEVITA KOMUBCHA RASPBERRY LEMON 15.2OZ,Kombucha,OG,11369,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NAKED JUICE,Kevita,KEVITA SPARKLING LEMON CAYENNE 15.2OZ,Soda,OG,11364,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NAKED JUICE,Kevita,KEVITA SPARKLING LEMON GINGER 15.2OZ,Soda,OG,11366,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NAKED JUICE,Kevita,KEVITA SPARKLING LIME MINT COCO 15.2OZ,Soda,OG,11365,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
